date,open,high,low,close,ADJUSTED_CLOSE,volume,dividend,split
2020-11-04,162.75,165.3,159.9,160.16,160.16,2987880,0.0,1.0
2020-11-03,164.86,166.83,163.7355,165.51,165.51,1896938,0.0,1.0
2020-11-02,162.19,163.42,160.93,162.94,162.94,2116638,0.0,1.0
2020-10-30,158.33,159.96,156.995,159.96,159.96,2234526,0.0,1.0
2020-10-29,158.11,160.18,156.13,158.48,158.48,2680871,0.0,1.0
2020-10-28,159.81,162.85,158.12,158.53,158.53,3065174,0.0,1.0
2020-10-27,164.5,164.98,160.65,161.03,161.03,3894419,0.0,1.0
2020-10-26,167.68,168.09,164.39,166.16,166.16,3338767,0.0,1.0
2020-10-23,171.92,172.175,169.02,169.8,169.8,2137484,0.0,1.0
2020-10-22,169.64,170.99,168.3901,170.71,170.71,1663268,0.0,1.0
2020-10-21,170.34,172.11,169.07,169.17,169.17,1511112,0.0,1.0
2020-10-20,170.5,173.19,169.99,170.95,170.95,1813211,0.0,1.0
2020-10-19,171.02,172.35,168.87,169.55,169.55,1910123,0.0,1.0
2020-10-16,169.94,172.07,169.215,170.97,170.97,2478787,0.0,1.0
2020-10-15,166.05,169.68,165.8,169.08,169.08,1638271,0.0,1.0
2020-10-14,167.01,169.54,166.79,168.4,168.4,1435365,0.0,1.0
2020-10-13,168.3,169.45,166.0,166.63,166.63,1575448,0.0,1.0
2020-10-12,169.47,170.61,168.1201,168.65,168.65,1533855,0.0,1.0
2020-10-09,168.88,170.48,167.95,169.3,169.3,2015611,0.0,1.0
2020-10-08,167.3,168.15,166.125,167.71,167.71,1902821,0.0,1.0
2020-10-07,165.1,167.75,164.41,166.49,166.49,2155563,0.0,1.0
2020-10-06,163.44,165.7,161.83,162.23,162.23,2022103,0.0,1.0
2020-10-05,162.25,163.5,161.76,162.75,162.75,1457201,0.0,1.0
2020-10-02,156.47,161.94,156.25,160.36,160.36,1769035,0.0,1.0
2020-10-01,160.67,161.9,157.72,158.79,158.79,1989312,0.0,1.0
2020-09-30,160.93,163.103,158.61,160.18,160.18,3056908,0.0,1.0
2020-09-29,161.67,161.95,158.78,159.81,159.81,2026047,0.0,1.0
2020-09-28,162.0,164.14,161.33,161.66,161.66,2098520,0.0,1.0
2020-09-25,159.31,160.98,158.86,160.27,160.27,1949057,0.0,1.0
2020-09-24,159.4,161.955,158.07,160.42,160.42,1569695,0.0,1.0
2020-09-23,162.52,164.24,159.12,159.51,159.51,2248196,0.0,1.0
2020-09-22,161.06,163.67,160.42,162.34,162.34,2103752,0.0,1.0
2020-09-21,165.98,166.6699,159.64,161.36,161.36,3911678,0.0,1.0
2020-09-18,172.06,172.78,169.47,169.55,169.55,4084722,0.0,1.0
2020-09-17,168.0,173.2,167.185,172.38,172.38,2756078,0.0,1.0
2020-09-16,167.87,171.1,167.51,169.51,169.51,2932828,0.0,1.0
2020-09-15,169.87,169.93,166.1701,166.57,166.57,2056474,0.0,1.0
2020-09-14,167.66,169.425,166.425,168.46,168.46,2264354,0.0,1.0
2020-09-11,163.44,166.6965,163.06,166.17,166.17,1698664,0.0,1.0
2020-09-10,166.24,166.67,162.75,163.15,163.15,2054331,0.0,1.0
2020-09-09,164.0,167.34,164.0,165.7,165.7,2721750,0.0,1.0
2020-09-08,165.58,165.63,161.8801,163.17,163.17,2863890,0.0,1.0
2020-09-04,168.18,169.11,163.9,165.77,165.77,3266995,0.0,1.0
2020-09-03,170.0,170.42,164.99,166.31,166.31,3481289,0.0,1.0
2020-09-02,165.16,170.0,165.14,169.51,169.51,3943678,0.0,1.0
2020-09-01,162.17,165.55,161.64,164.8,164.8,2901444,0.0,1.0
2020-08-31,165.16,165.75,162.09,163.02,163.02,2881511,0.0,1.0
2020-08-28,164.64,166.17,163.92,165.66,165.66,3046525,0.0,1.0
2020-08-27,164.5,165.36,163.18,164.08,164.08,2325937,0.0,1.0
2020-08-26,162.87,164.77,161.69,163.9,163.9,2503413,0.0,1.0
2020-08-25,164.86,165.25,162.42,163.1,163.1,1938629,0.0,1.0
2020-08-24,161.55,163.95,161.15,163.53,163.53,2604618,0.0,1.0
2020-08-21,160.93,162.69,160.74,161.71,161.71,2005583,1.47,1.0
2020-08-20,163.02,163.6634,162.38,162.97,161.5019,1990620,0.0,1.0
2020-08-19,164.94,165.6898,163.78,163.97,162.4929,2012818,0.0,1.0
2020-08-18,164.43,165.44,163.76,164.38,162.8992,1519440,0.0,1.0
2020-08-17,165.17,166.37,163.65,164.71,163.2262,2065541,0.0,1.0
2020-08-14,164.61,166.3,164.52,166.1,164.6037,1607354,0.0,1.0
2020-08-13,165.52,167.49,164.75,165.86,164.3659,2884061,0.0,1.0
2020-08-12,165.0,165.95,163.35,164.26,162.7803,2079670,0.0,1.0
2020-08-11,164.13,166.64,163.04,163.38,161.9082,3764883,0.0,1.0
2020-08-10,158.55,161.6,158.55,161.44,159.9857,2272795,0.0,1.0
2020-08-07,155.99,158.42,155.07,158.33,156.9037,2184531,0.0,1.0
2020-08-06,155.93,156.49,154.68,156.0,154.5947,2885798,0.0,1.0
2020-08-05,152.16,155.4,152.1,155.35,153.9505,2723360,0.0,1.0
2020-08-04,149.9,151.24,149.66,151.21,149.8478,1848626,0.0,1.0
2020-08-03,151.09,151.415,149.31,150.41,149.055,2265040,0.0,1.0
2020-07-31,151.68,151.75,148.8,150.47,149.1145,3266644,0.0,1.0
2020-07-30,154.31,154.72,151.361,152.12,150.7496,3112986,0.0,1.0
2020-07-29,156.5,157.53,154.92,156.25,154.8424,3322894,0.0,1.0
2020-07-28,155.47,157.48,153.8,155.33,153.9307,7738796,0.0,1.0
2020-07-27,159.53,163.38,159.33,163.24,161.7695,3198457,0.0,1.0
2020-07-24,160.05,161.6,158.7249,159.84,158.4001,2524854,0.0,1.0
2020-07-23,159.0,159.65,158.36,159.29,157.855,2695122,0.0,1.0
2020-07-22,157.43,159.93,157.02,158.71,157.2803,1899582,0.0,1.0
2020-07-21,157.0,159.63,156.99,157.8,156.3785,2757200,0.0,1.0
2020-07-20,158.85,158.87,156.37,156.37,154.9613,1790100,0.0,1.0
2020-07-17,160.86,161.56,159.51,159.83,158.3902,2551700,0.0,1.0
2020-07-16,159.25,160.91,158.04,160.5,159.0541,1801500,0.0,1.0
2020-07-15,159.98,161.38,159.25,159.33,157.8947,3472300,0.0,1.0
2020-07-14,154.8,159.23,153.92,158.54,157.1118,3198900,0.0,1.0
2020-07-13,154.35,156.93,154.16,154.8,153.4055,2217800,0.0,1.0
2020-07-10,151.69,153.25,150.99,152.85,151.4731,1954500,0.0,1.0
2020-07-09,153.92,154.72,151.04,151.45,150.0857,2190000,0.0,1.0
2020-07-08,155.07,155.6,153.87,154.58,153.1875,1662000,0.0,1.0
2020-07-07,156.08,157.1,154.69,154.82,153.4253,1571700,0.0,1.0
2020-07-06,158.87,159.96,157.05,158.1,156.6758,2099500,0.0,1.0
2020-07-02,157.62,158.88,156.46,157.04,155.6253,1982800,0.0,1.0
2020-07-01,156.34,157.8,155.31,155.43,154.0298,1625600,0.0,1.0
2020-06-30,154.91,156.71,154.05,155.99,154.5848,2941600,0.0,1.0
2020-06-29,153.9,156.515,153.48,155.57,154.1686,2145146,0.0,1.0
2020-06-26,154.6,154.78,151.53,152.52,151.146,2826400,0.0,1.0
2020-06-25,152.05,155.05,150.1,154.67,153.2767,2060700,0.0,1.0
2020-06-24,156.29,156.73,151.71,152.22,150.8487,3042800,0.0,1.0
2020-06-23,157.96,158.67,156.24,157.84,156.4181,2301800,0.0,1.0
2020-06-22,157.0,157.42,155.48,156.69,155.2785,2020900,0.0,1.0
2020-06-19,161.35,162.09,156.47,158.15,156.7253,6405200,0.0,1.0
2020-06-18,158.07,159.83,157.59,159.21,157.7758,1806100,0.0,1.0
2020-06-17,160.2,160.87,158.97,159.22,157.7857,1714600,0.0,1.0
2020-06-16,162.85,163.38,156.89,159.67,158.2316,3386700,0.0,1.0
