SYMB,DATA_OP,HORA_OP,MKT_OPEN,HIGH,LOW,MKT_CLOSE,VOLUME
MMM,2020-11-03,20:00:00,164.72,164.72,164.72,164.72,100
MMM,2020-11-03,19:46:00,165.55,165.55,165.05,165.05,746
MMM,2020-11-03,19:16:00,167.56,167.56,167.56,167.56,100
MMM,2020-11-03,19:04:00,166.21,166.21,166.21,166.21,177
MMM,2020-11-03,18:42:00,167.5,167.56,167.5,167.56,382
MMM,2020-11-03,18:40:00,167.3,167.3,167.3,167.3,126
MMM,2020-11-03,18:16:00,166.73,166.73,166.73,166.73,178
MMM,2020-11-03,18:09:00,166.06,166.06,166.06,166.06,197
MMM,2020-11-03,16:05:00,165.51,165.51,165.51,165.51,46566
MMM,2020-11-03,16:04:00,165.51,165.51,165.51,165.51,5448
MMM,2020-11-03,16:00:00,165.535,165.62,165.26,165.41,57617
MMM,2020-11-03,15:59:00,165.83,165.83,165.49,165.51,23002
MMM,2020-11-03,15:58:00,165.86,165.94,165.77,165.85,19878
MMM,2020-11-03,15:57:00,165.78,165.98,165.71,165.89,19550
MMM,2020-11-03,15:56:00,166.3,166.3,165.74,165.755,20659
MMM,2020-11-03,15:55:00,166.29,166.4,166.23,166.35,17575
MMM,2020-11-03,15:54:00,165.9301,166.29,165.93,166.26,24154
MMM,2020-11-03,15:53:00,165.94,166.01,165.9,165.96,12037
MMM,2020-11-03,15:52:00,165.93,166.07,165.9004,165.9004,21179
MMM,2020-11-03,15:51:00,165.92,165.95,165.83,165.92,18818
MMM,2020-11-03,15:50:00,165.83,166.0,165.83,166.0,11827
MMM,2020-11-03,15:49:00,165.81,165.83,165.74,165.8,8269
MMM,2020-11-03,15:48:00,165.83,165.83,165.71,165.8048,10916
MMM,2020-11-03,15:47:00,165.82,165.89,165.77,165.84,10229
MMM,2020-11-03,15:46:00,165.72,165.93,165.71,165.86,18300
MMM,2020-11-03,15:45:00,165.73,165.77,165.66,165.72,4717
MMM,2020-11-03,15:44:00,165.63,165.83,165.63,165.66,5597
MMM,2020-11-03,15:43:00,165.88,165.88,165.61,165.64,12036
MMM,2020-11-03,15:42:00,165.88,165.91,165.7971,165.9,8403
MMM,2020-11-03,15:41:00,165.49,165.97,165.49,165.858,29863
MMM,2020-11-03,15:40:00,165.53,165.6,165.49,165.515,27397
MMM,2020-11-03,15:39:00,165.5,165.625,165.5,165.53,14140
MMM,2020-11-03,15:38:00,165.44,165.53,165.415,165.5,10000
MMM,2020-11-03,15:37:00,165.38,165.43,165.24,165.415,23466
MMM,2020-11-03,15:36:00,165.47,165.53,165.381,165.381,4530
MMM,2020-11-03,15:35:00,165.43,165.51,165.36,165.49,24225
MMM,2020-11-03,15:34:00,165.3049,165.44,165.3,165.44,6512
MMM,2020-11-03,15:33:00,165.25,165.34,165.215,165.3,8455
MMM,2020-11-03,15:32:00,165.18,165.32,165.175,165.2132,5748
MMM,2020-11-03,15:31:00,164.99,165.25,164.95,165.2,10455
MMM,2020-11-03,15:30:00,165.03,165.04,164.9,164.95,5369
MMM,2020-11-03,15:29:00,165.1,165.17,165.04,165.04,4739
MMM,2020-11-03,15:28:00,165.12,165.2342,165.09,165.13,5880
MMM,2020-11-03,15:27:00,164.98,165.11,164.98,165.11,4754
MMM,2020-11-03,15:26:00,164.92,165.03,164.92,164.99,3758
MMM,2020-11-03,15:25:00,164.8102,164.9,164.81,164.9,3456
MMM,2020-11-03,15:24:00,164.94,165.0,164.79,164.79,1824
MMM,2020-11-03,15:23:00,165.0,165.05,164.92,164.94,4455
MMM,2020-11-03,15:22:00,165.31,165.31,164.93,164.97,5494
MMM,2020-11-03,15:21:00,165.24,165.29,165.2,165.26,3247
MMM,2020-11-03,15:20:00,165.22,165.22,165.13,165.17,4108
MMM,2020-11-03,15:19:00,165.23,165.27,165.22,165.24,2826
MMM,2020-11-03,15:18:00,165.18,165.19,165.165,165.18,2187
MMM,2020-11-03,15:17:00,165.26,165.27,165.19,165.19,1659
MMM,2020-11-03,15:16:00,165.1,165.24,165.09,165.16,4077
MMM,2020-11-03,15:15:00,165.15,165.18,165.1,165.11,3514
MMM,2020-11-03,15:14:00,165.19,165.23,165.08,165.08,2404
MMM,2020-11-03,15:13:00,165.1,165.22,165.1,165.17,2163
MMM,2020-11-03,15:12:00,165.169,165.169,165.1049,165.15,2730
MMM,2020-11-03,15:11:00,165.05,165.0812,165.0,165.07,2661
MMM,2020-11-03,15:10:00,165.1,165.1,165.0,165.04,2845
MMM,2020-11-03,15:09:00,165.04,165.12,165.04,165.1,2851
MMM,2020-11-03,15:08:00,165.14,165.17,165.03,165.04,2381
MMM,2020-11-03,15:07:00,165.16,165.1795,165.12,165.12,1758
MMM,2020-11-03,15:06:00,165.27,165.27,165.17,165.25,3935
MMM,2020-11-03,15:05:00,165.24,165.35,165.22,165.29,4958
MMM,2020-11-03,15:04:00,165.13,165.21,165.13,165.18,2265
MMM,2020-11-03,15:03:00,165.2,165.2,165.15,165.15,1179
MMM,2020-11-03,15:02:00,165.35,165.35,165.1849,165.25,4472
MMM,2020-11-03,15:01:00,165.42,165.45,165.3,165.3166,6162
MMM,2020-11-03,15:00:00,165.34,165.4,165.32,165.4,1529
MMM,2020-11-03,14:59:00,165.32,165.365,165.32,165.33,2236
MMM,2020-11-03,14:58:00,165.37,165.37,165.29,165.32,2818
MMM,2020-11-03,14:57:00,165.37,165.435,165.33,165.39,2517
MMM,2020-11-03,14:56:00,165.37,165.37,165.3,165.31,2914
MMM,2020-11-03,14:55:00,165.36,165.4,165.32,165.35,3048
MMM,2020-11-03,14:54:00,165.4753,165.4753,165.35,165.35,2137
MMM,2020-11-03,14:53:00,165.47,165.4753,165.43,165.4753,2882
MMM,2020-11-03,14:52:00,165.67,165.67,165.53,165.53,2874
MMM,2020-11-03,14:51:00,165.62,165.64,165.575,165.63,3842
MMM,2020-11-03,14:50:00,165.39,165.67,165.39,165.62,3082
MMM,2020-11-03,14:49:00,165.36,165.42,165.31,165.38,3494
MMM,2020-11-03,14:48:00,165.3,165.3,165.26,165.26,687
MMM,2020-11-03,14:47:00,165.41,165.425,165.32,165.33,3203
MMM,2020-11-03,14:46:00,165.4,165.46,165.38,165.4,1994
MMM,2020-11-03,14:45:00,165.43,165.45,165.36,165.4,2901
MMM,2020-11-03,14:44:00,165.38,165.44,165.33,165.43,1905
MMM,2020-11-03,14:43:00,165.29,165.37,165.29,165.35,3428
MMM,2020-11-03,14:42:00,165.31,165.364,165.2632,165.2632,3590
MMM,2020-11-03,14:41:00,165.2,165.3,165.2,165.3,3122
MMM,2020-11-03,14:40:00,165.27,165.27,165.19,165.22,3697
MMM,2020-11-03,14:39:00,165.215,165.2269,165.21,165.2269,1295
MMM,2020-11-03,14:38:00,165.26,165.29,165.19,165.23,4475
MMM,2020-11-03,14:37:00,165.097,165.18,165.097,165.16,3196
MMM,2020-11-03,14:36:00,165.03,165.06,164.97,165.03,5262
MMM,2020-11-03,14:35:00,164.76,165.1,164.735,165.1,5857
MMM,2020-11-03,14:34:00,164.73,164.74,164.68,164.74,1651
MMM,2020-11-03,14:33:00,164.77,164.84,164.61,164.74,4158
MMM,2020-11-03,14:32:00,164.44,164.84,164.44,164.84,6061
MMM,2020-11-03,14:31:00,164.46,164.47,164.35,164.36,2412
